Standard Report - Exports,,
Current date: 11/13/2021 6:15 PM (Eastern Standard Time),,
District: All Districts,,
Commodity: All Commodities,,
Domestic/Foreign: Total Exports,,
,Measures,Value ($US)
Country,Time,
World Total,Jan-10,"92,600,632,335"
,Feb-10,"93,858,176,671"
,Mar-10,"110,510,205,728"
,Apr-10,"102,477,441,780"
,May-10,"105,463,276,426"
,Jun-10,"107,153,195,142"
,Jul-10,"104,051,184,420"
,Aug-10,"106,871,289,849"
,Sep-10,"107,683,145,137"
,Oct-10,"117,262,131,026"
,Nov-10,"113,116,960,191"
,Dec-10,"117,446,887,134"
,Jan-11,"110,183,369,864"
,Feb-11,"109,541,446,075"
,Mar-11,"131,725,758,836"
,Apr-11,"124,052,072,376"
,May-11,"124,235,660,516"
,Jun-11,"125,000,642,272"
,Jul-11,"120,262,112,698"
,Aug-11,"126,731,947,733"
,Sep-11,"127,032,073,622"
,Oct-11,"131,099,391,557"
,Nov-11,"125,752,046,666"
,Dec-11,"126,891,233,011"
,Jan-12,"117,838,628,660"
,Feb-12,"123,612,302,071"
,Mar-12,"140,219,065,283"
,Apr-12,"127,411,442,243"
,May-12,"131,233,078,684"
,Jun-12,"132,578,896,665"
,Jul-12,"121,408,136,228"
,Aug-12,"128,583,019,076"
,Sep-12,"128,259,972,496"
,Oct-12,"133,718,215,980"
,Nov-12,"130,204,374,852"
,Dec-12,"130,753,707,654"
,Jan-13,"123,031,879,061"
,Feb-13,"123,443,633,859"
,Mar-13,"136,642,157,119"
,Apr-13,"129,460,620,838"
,May-13,"132,968,704,067"
,Jun-13,"134,550,410,192"
,Jul-13,"127,280,872,192"
,Aug-13,"132,584,007,865"
,Sep-13,"128,377,555,440"
,Oct-13,"142,061,250,573"
,Nov-13,"136,200,329,241"
,Dec-13,"131,915,459,503"
,Jan-14,"126,619,205,952"
,Feb-14,"123,630,418,125"
,Mar-14,"142,289,932,238"
,Apr-14,"133,990,050,434"
,May-14,"138,181,984,632"
,Jun-14,"138,482,447,486"
,Jul-14,"133,326,645,853"
,Aug-14,"137,625,837,418"
,Sep-14,"133,668,613,617"
,Oct-14,"145,613,923,496"
,Nov-14,"134,722,680,199"
,Dec-14,"133,722,053,460"
,Jan-15,"120,872,356,631"
,Feb-15,"118,233,729,390"
,Mar-15,"133,668,763,292"
,Apr-15,"128,499,647,184"
,May-15,"128,206,276,150"
,Jun-15,"130,976,339,814"
,Jul-15,"124,242,885,351"
,Aug-15,"122,758,879,762"
,Sep-15,"124,915,079,917"
,Oct-15,"130,301,584,104"
,Nov-15,"120,541,147,016"
,Dec-15,"120,111,661,135"
,Jan-16,"107,960,297,514"
,Feb-16,"113,460,376,568"
,Mar-16,"125,527,112,645"
,Apr-16,"118,712,650,064"
,May-16,"119,616,271,973"
,Jun-16,"125,098,472,280"
,Jul-16,"115,804,981,247"
,Aug-16,"122,657,900,388"
,Sep-16,"124,482,746,613"
,Oct-16,"128,525,288,245"
,Nov-16,"122,999,230,526"
,Dec-16,"126,614,355,752"
,Jan-17,"117,528,021,490"
,Feb-17,"119,234,157,883"
,Mar-17,"135,977,029,327"
,Apr-17,"123,925,279,361"
,May-17,"127,881,134,259"
,Jun-17,"132,711,172,007"
,Jul-17,"122,201,654,171"
,Aug-17,"129,236,563,330"
,Sep-17,"130,342,867,951"
,Oct-17,"136,312,497,184"
,Nov-17,"135,681,546,685"
,Dec-17,"136,163,479,032"
,Jan-18,"125,038,459,633"
,Feb-18,"128,218,752,875"
,Mar-18,"149,561,831,850"
,Apr-18,"138,230,392,201"
,May-18,"145,527,656,000"
,Jun-18,"145,498,546,498"
,Jul-18,"133,808,243,514"
,Aug-18,"140,217,808,628"
,Sep-18,"139,388,908,592"
,Oct-18,"147,081,940,397"
,Nov-18,"139,278,205,587"
,Dec-18,"133,936,141,181"
,Jan-19,"129,662,002,619"
,Feb-19,"129,916,243,269"
,Mar-19,"148,306,005,640"
,Apr-19,"134,813,973,392"
,May-19,"142,240,654,365"
,Jun-19,"138,008,233,726"
,Jul-19,"133,201,267,861"
,Aug-19,"138,316,289,770"
,Sep-19,"134,043,112,749"
,Oct-19,"142,271,563,426"
,Nov-19,"136,819,657,451"
,Dec-19,"135,221,347,412"
,Jan-20,"128,766,924,154"
,Feb-20,"130,553,035,039"
,Mar-20,"132,921,240,253"
,Apr-20,"94,470,858,581"
,May-20,"90,738,332,613"
,Jun-20,"104,668,632,156"
,Jul-20,"112,710,817,262"
,Aug-20,"117,833,319,174"
,Sep-20,"121,115,426,892"
,Oct-20,"132,348,265,602"
,Nov-20,"126,614,433,380"
,Dec-20,"132,193,634,027"
,Jan-21,"127,638,340,222"
,Feb-21,"123,936,602,605"
,Mar-21,"151,599,504,243"
,Apr-21,"144,376,068,072"
,May-21,"144,725,288,787"
,Jun-21,"147,680,557,069"
,Jul-21,"144,109,751,058"
,Aug-21,"148,099,485,748"
,Sep-21,"141,829,630,082"
Afghanistan,Jan-10,"262,013,646"
,Feb-10,"153,682,069"
,Mar-10,"179,680,931"
,Apr-10,"202,533,303"
,May-10,"175,257,402"
,Jun-10,"152,032,286"
,Jul-10,"172,630,230"
,Aug-10,"158,754,497"
,Sep-10,"199,859,665"
,Oct-10,"183,031,704"
,Nov-10,"155,862,113"
,Dec-10,"156,062,948"
,Jan-11,"101,747,666"
,Feb-11,"184,021,064"
,Mar-11,"218,426,512"
,Apr-11,"211,753,646"
,May-11,"290,890,965"
,Jun-11,"225,484,722"
,Jul-11,"239,953,004"
,Aug-11,"240,205,755"
,Sep-11,"284,920,385"
,Oct-11,"394,648,122"
,Nov-11,"274,271,334"
,Dec-11,"255,538,603"
,Jan-12,"165,061,909"
,Feb-12,"119,803,970"
,Mar-12,"142,229,076"
,Apr-12,"114,406,721"
,May-12,"126,035,984"
,Jun-12,"113,713,973"
,Jul-12,"109,883,985"
,Aug-12,"113,141,598"
,Sep-12,"127,202,617"
,Oct-12,"110,240,367"
,Nov-12,"148,531,656"
,Dec-12,"131,303,538"
,Jan-13,"113,915,036"
,Feb-13,"103,183,580"
,Mar-13,"93,015,065"
,Apr-13,"94,066,704"
,May-13,"138,922,604"
,Jun-13,"156,863,024"
,Jul-13,"113,432,158"
,Aug-13,"126,192,953"
,Sep-13,"112,988,085"
,Oct-13,"143,249,659"
,Nov-13,"131,072,706"
,Dec-13,"83,214,646"
,Jan-14,"85,549,891"
,Feb-14,"75,519,453"
,Mar-14,"93,979,426"
,Apr-14,"95,606,740"
,May-14,"56,866,740"
,Jun-14,"61,467,220"
,Jul-14,"61,912,927"
,Aug-14,"62,339,224"
,Sep-14,"57,280,954"
,Oct-14,"55,912,860"
,Nov-14,"50,915,784"
,Dec-14,"55,369,730"
,Jan-15,"31,234,295"
,Feb-15,"37,258,645"
,Mar-15,"88,786,227"
,Apr-15,"39,725,459"
,May-15,"29,170,536"
,Jun-15,"37,764,776"
,Jul-15,"26,732,565"
,Aug-15,"29,491,959"
,Sep-15,"30,605,221"
,Oct-15,"89,580,708"
,Nov-15,"21,834,409"
,Dec-15,"16,526,724"
,Jan-16,"174,149,992"
,Feb-16,"22,687,231"
,Mar-16,"88,497,655"
,Apr-16,"48,137,822"
,May-16,"116,862,139"
,Jun-16,"54,868,991"
,Jul-16,"66,566,079"
,Aug-16,"47,919,279"
,Sep-16,"23,436,296"
,Oct-16,"78,170,604"
,Nov-16,"142,854,024"
,Dec-16,"49,724,239"
,Jan-17,"26,716,225"
,Feb-17,"77,060,907"
,Mar-17,"38,976,635"
,Apr-17,"142,041,049"
,May-17,"41,358,090"
,Jun-17,"59,069,779"
,Jul-17,"246,353,544"
,Aug-17,"67,189,171"
,Sep-17,"104,029,661"
,Oct-17,"23,295,134"
,Nov-17,"82,151,699"
,Dec-17,"33,990,137"
,Jan-18,"38,624,557"
,Feb-18,"84,951,583"
,Mar-18,"185,040,079"
,Apr-18,"77,188,985"
,May-18,"154,642,007"
,Jun-18,"127,036,912"
,Jul-18,"124,762,078"
,Aug-18,"78,053,173"
,Sep-18,"65,711,542"
,Oct-18,"139,512,517"
,Nov-18,"91,035,207"
,Dec-18,"60,845,792"
,Jan-19,"60,415,467"
,Feb-19,"53,989,267"
,Mar-19,"97,446,322"
,Apr-19,"92,780,660"
,May-19,"33,811,654"
,Jun-19,"64,503,154"
,Jul-19,"52,708,976"
,Aug-19,"36,058,417"
,Sep-19,"52,771,743"
,Oct-19,"61,334,603"
,Nov-19,"58,477,938"
,Dec-19,"93,470,958"
,Jan-20,"57,953,695"
,Feb-20,"83,459,551"
,Mar-20,"40,425,845"
,Apr-20,"60,723,169"
,May-20,"47,650,228"
,Jun-20,"79,787,237"
,Jul-20,"45,685,619"
,Aug-20,"99,395,538"
,Sep-20,"48,159,560"
,Oct-20,"46,292,312"
,Nov-20,"35,498,073"
,Dec-20,"25,631,848"
,Jan-21,"15,449,066"
,Feb-21,"129,112,295"
,Mar-21,"50,338,671"
,Apr-21,"16,866,320"
,May-21,"14,180,504"
,Jun-21,"5,062,199"
,Jul-21,"8,669,479"
,Aug-21,"2,792,290"
,Sep-21,"469,229"
Albania,Jan-10,"1,828,489"
,Feb-10,"3,149,945"
,Mar-10,"3,542,169"
,Apr-10,"5,479,692"
,May-10,"7,636,911"
